Player,Block_Franchise,Block_Type,name_norm,Player Name,Franchise,Contract Type,Salary,Contract Length,Contract Starts,Contract Ends,2025 Salary Hit,Name,Team,WAR,FPTS,Player_Type
Kevin Gausman,Ethan Gobetz,Full,kevin gausman,Kevin Gausman,Ethan Gobetz, FA Contract ," $ 12,800,000 ",4,2024.0,2027.0," $ 12,800,000 ",Kevin Gausman,TOR,2.8255,771.4000000000001,Pitcher
Jackson Merrill,Ethan Gobetz,Full,jackson merrill,Jackson Merrill,Ethan Gobetz, YP Contract , YP ,YP,2024.0,2026.0," $ 1,000,000 ",Jackson Merrill,SDP,4.11826,735.9,Batter
Shane Baz,Ethan Gobetz,Full,shane baz,Shane Baz,Ethan Gobetz, FA Contract ," $ 5,000,000 ",2,2025.0,2026.0," $ 5,000,000 ",Shane Baz,BAL,1.95906,652.4,Pitcher
Carson Benge,Ethan Gobetz,Partial,carson benge,Carson Benge,Ethan Gobetz, Minors , YP ,YP,,, $ -   ,Carson Benge,NYM,0.949246,349.3,Batter
Francisco Alvarez,Ethan Gobetz,Partial,francisco alvarez,Francisco Alvarez,Ethan Gobetz, FA Contract ," $ 8,500,000 ",3,2025.0,2027.0," $ 8,500,000 ",Francisco Alvarez,NYM,2.51323,495.7,Batter
Carlos Correa,Ethan Gobetz,Partial,carlos correa,Carlos Correa,Ethan Gobetz, FA Contract ," $ 5,000,000 ",3,2025.0,2027.0," $ 5,000,000 ",Carlos Correa,HOU,3.16386,581.3,Batter
Alex Bregman,Ethan Gobetz,Partial,alex bregman,Alex Bregman,Ethan Gobetz, FA Contract ," $ 7,900,000 ",3,2024.0,2026.0," $ 7,900,000 ",Alex Bregman,,3.73466,790.9,Batter
Cole Wilcox,Ethan Gobetz,Partial,cole wilcox,Cole Wilcox,Ethan Gobetz, Minors , YP , YP ,,, $ -   ,Cole Wilcox,SEA,-0.0428862,115.5,Pitcher
Max Muncy,Ethan Gobetz,Partial,max muncy,Max Muncy,,,,,,,  ,Max Muncy,ATH,0.774563,293.8,Batter
Yordan Alvarez,Brian Frederick,Full,yordan alvarez,Yordan Alvarez,Brian Frederick, FA Contract ," $ 32,400,000 ",5,2024.0,2028.0," $ 32,400,000 ",Yordan Alvarez,HOU,4.59763,926.5,Batter
Mookie Betts,Brian Frederick,Full,mookie betts,Mookie Betts,Brian Frederick, FA Contract ," $ 30,000,000 ",3,2024.0,2026.0," $ 30,000,000 ",Mookie Betts,LAD,4.32082,758.4,Batter
Logan Webb,Brian Frederick,Full,logan webb,Logan Webb,Brian Frederick, FA Contract ," $ 12,000,000 ",4,2025.0,2028.0," $ 12,000,000 ",Logan Webb,SFG,4.0621,974.1000000000004,Pitcher
Roman Anthony,Brian Frederick,Full,roman anthony,Roman Anthony ,Brian Frederick, YP Contract , YP ,YP,2025.0,2027.0," $ 500,000 ",Roman Anthony,BOS,2.46281,653.8,Batter
Travis Bazzana,Brian Frederick,Partial,travis bazzana,Travis Bazzana,Brian Frederick, Minors , YP ,YP,,, $ -   ,Travis Bazzana,CLE,0.357937,152.9,Batter
Christian Yelich,Brian Frederick,Partial,christian yelich,Christian Yelich,Brian Frederick, FA Contract ," $ 2,800,000 ",2,2025.0,2026.0," $ 2,800,000 ",Christian Yelich,MIL,1.33664,573.3,Batter
Jett Williams,Brian Frederick,Partial,jett williams,Jett Williams,Brian Frederick, Minors , YP ,YP,,, $ -   ,Jett Williams,NYM,0.259335,91.4,Batter
Blake Treinen,Brian Frederick,Partial,blake treinen,Blake Treinen,Brian Frederick, FA Contract ," $ 3,000,000 ",2,2025.0,2026.0," $ 3,000,000 ",Blake Treinen,LAD,0.533477,327.5,Pitcher
Jeremy Pena,Brian Frederick,Partial,jeremy pena,Jeremy Pena ,Brian Frederick, FA Contract ," $ 5,000,000 ",2,2025.0,2026.0," $ 5,000,000 ",Jeremy Peña,HOU,3.4951,699.6,Batter
Ronny Mauricio,Brian Frederick,Partial,ronny mauricio,Ronny Mauricio,Brian Frederick, YP Contract , YP ,YP,2026.0,2028.0,  ,Ronny Mauricio,NYM,0.693956,277.4,Batter
Ben Rice,Zack Semler,Full,ben rice,Ben Rice,Zack Semler, YP Contract , YP ,YP,2024.0,2026.0," $ 1,000,000 ",Ben Rice,NYY,2.29904,617.1,Batter
Bo Bichette,Zack Semler,Full,bo bichette,Bo Bichette,Zack Semler, FA Contract ," $ 10,600,000 ",5,2024.0,2028.0," $ 10,600,000 ",Bo Bichette,,3.60639,734.9,Batter
Michael Busch,Zack Semler,Full,michael busch,Michael Busch,Zack Semler, YP Contract , YP ,YP,2024.0,2026.0," $ 1,000,000 ",Michael Busch,CHC,2.04013,644.1,Batter
Cam Schlittler,Zack Semler,Full,cam schlittler,Cam Schlittler,Zack Semler, YP Contract , YP ,YP,2025.0,2027.0," $ 500,000 ",Cam Schlittler,NYY,1.82476,592.7,Pitcher
Kevin McGonigle,Zack Semler,Partial,kevin mcgonigle,Kevin McGonigle,Zack Semler, Minors , YP , YP ,,, $ -   ,Kevin McGonigle,DET,1.14807,233.5,Batter
Luis Arraez,Zack Semler,Partial,luis arraez,Luis Arraez,Zack Semler, FA Contract ," $ 10,300,000 ",5,2024.0,2028.0," $ 10,300,000 ",Luis Arraez,,1.42862,655.3,Batter
Carlos Rodon,Zack Semler,Partial,carlos rodon,Carlos Rodon,Zack Semler, FA Contract ," $ 5,000,000 ",2,2025.0,2026.0," $ 5,000,000 ",Carlos Rodón,NYY,2.23125,688.9000000000001,Pitcher
Jose Altuve,Zack Semler,Partial,jose altuve,Jose Altuve,Zack Semler, FA Contract ," $ 11,000,000 ",4,2024.0,2027.0," $ 11,000,000 ",Jose Altuve,HOU,2.58627,703.2,Batter
Steven Kwan,Zack Semler,Partial,steven kwan,Steven Kwan,Zack Semler, FA Contract ," $ 5,300,000 ",3,2025.0,2027.0," $ 5,300,000 ",Steven Kwan,CLE,2.8037,681.9,Batter
Freddie Freeman,Zack Semler,Partial,freddie freeman,Freddie Freeman,Zack Semler, FA Contract ," $ 24,600,000 ",5,2024.0,2028.0," $ 24,600,000 ",Freddie Freeman,LAD,3.1756,900.9,Batter
Wyatt Langford,Steve Cornish,Full,wyatt langford,Wyatt Langford,Steve Cornish, YP Contract , YP ,YP,2024.0,2026.0," $ 1,000,000 ",Wyatt Langford,TEX,3.37939,728.2,Batter
Jasson Dominguez,Steve Cornish,Full,jasson dominguez,Jasson Dominguez,Steve Cornish, YP Contract , YP ,YP,2025.0,2027.0," $ 500,000 ",Jasson Domínguez,NYY,1.52367,511.4,Batter
Cade Horton,Steve Cornish,Full,cade horton,Cade Horton,Steve Cornish, YP Contract , YP ,YP,2025.0,2027.0," $ 500,000 ",Cade Horton,CHC,1.31693,518.3000000000001,Pitcher
CJ Abrams,Steve Cornish,Full,cj abrams,CJ Abrams,Steve Cornish, FA Contract ," $ 4,100,000 ",4,2024.0,2027.0," $ 4,100,000 ",CJ Abrams,WSN,2.8845,691.7,Batter
Walker Jenkins,Steve Cornish,Partial,walker jenkins,Walker Jenkins ,Steve Cornish, Minors , YP ,YP,,, $ -   ,Walker Jenkins,MIN,0.231975,106.7,Batter
Bubba Chandler,Steve Cornish,Partial,bubba chandler,Bubba Chandler,Steve Cornish, Minors , YP ,YP,,, $ -   ,Bubba Chandler,PIT,1.86189,616.7,Pitcher
Ronald Acuna Jr,Steve Cornish,Partial,ronald acuna,Ronald Acuna Jr,Steve Cornish, FA Contract ," $ 44,000,000 ",5,2024.0,2028.0," $ 44,000,000 ",Ronald Acuña Jr.,ATL,5.2691,1045.7,Batter
Spencer Strider,Steve Cornish,Partial,spencer strider,Spencer Strider,Steve Cornish, FA Contract ," $ 12,500,000 ",4,2025.0,2028.0," $ 12,500,000 ",Spencer Strider,ATL,2.66349,748.1000000000001,Pitcher
Pablo Lopez,Steve Cornish,Partial,pablo lopez,Pablo Lopez,Steve Cornish, FA Contract ," $ 12,600,000 ",5,2024.0,2028.0," $ 12,600,000 ",Pablo López,MIN,3.24153,811.1000000000001,Pitcher
Nico Hoerner,Steve Cornish,Partial,nico hoerner,Nico Hoerner,Steve Cornish, FA Contract ," $ 5,000,000 ",3,2024.0,2026.0," $ 5,000,000 ",Nico Hoerner,CHC,3.53386,696.5,Batter
