Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",109,472,382,109,55,19,1,34,83,87,84,16,121,5,2,0,,7,3,0.286005,0.177492,0.256416,0.692202,0.418381,0.607216,0.424147,1.0256,0.32121,3.85862,0.328735,0,-0.46835,98.3569,42.5785,177.851,-0.46835,3.25504,42.846782356500626,-2.3707313537597656,5.80448,1.850000023841858,,,,,,,880.7,8.079816513,880.7,8.079816513,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",112,482,436,127,75,27,5,19,69,66,39,4,83,4,3,0,,25,7,0.291989,0.0815791,0.171847,0.474721,0.353058,0.510856,0.366752,0.863914,0.218867,6.76458,0.32061,0,1.46443,77.9667,21.014,134.169,1.46443,7.95686,20.875835418701172,13.121208667755127,5.17662,3.0999999046325684,,,,,,,717.5,6.40625,717.5,6.40625,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",111,481,388,105,61,17,2,25,76,71,88,7,83,2,3,1,,16,3,0.270843,0.183782,0.173525,1.05911,0.40638,0.520806,0.395294,0.927185,0.249963,5.22931,0.282599,0,0.97184,88.9846,32.1288,159.675,0.97184,-3.89046,35.00492125749588,-9.905274868011475,4.20706,4.650000095367432,,,,,,,787.7,7.096396396,787.7,7.096396396,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",110,477,403,113,59,21,3,30,89,84,66,12,115,5,3,0,,19,3,0.280216,0.139011,0.242023,0.574373,0.385263,0.572748,0.398485,0.958012,0.292533,6.71814,0.317633,0,1.85685,89.4535,33.0878,159.07,1.85685,0,35.25402867794037,-11.925926208496094,4.01168,1.2699999809265137,,,,,,,830.5,7.55,830.5,7.55,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Elly De La Cruz","CIN",110,477,428,116,69,24,4,19,75,67,44,3,128,2,3,1,,28,7,0.272303,0.0920506,0.268923,0.342293,0.341181,0.481225,0.351416,0.822405,0.208921,7.30333,0.34432,0,1.88517,71.223,14.8574,121.436,1.88517,2.17046,14.004921078681946,7.104105710983276,3.78464,8.449999809265137,,,,,,,664.2,6.038181818,664.2,6.038181818,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"José Ramírez","CLE",111,478,419,110,65,24,2,19,67,63,53,13,59,3,3,0,,26,4,0.263716,0.11169,0.122595,0.911049,0.348846,0.469425,0.344441,0.818271,0.205709,5.91643,0.265099,0,2.57901,68.6335,12.176,123.001,2.57901,3.18725,15.532312154769897,3.767804205417633,3.65817,6.28000020980835,,,,,,,662.8,5.971171171,662.8,5.971171171,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Yordan Alvarez","HOU",100,433,370,109,61,22,1,25,61,67,55,10,75,6,2,0,,2,1,0.295922,0.127163,0.172035,0.739167,0.393912,0.563057,0.401268,0.956969,0.267135,2.65493,0.30965,0,-0.65063,82.2652,31.046,161.537,-0.65063,-0.0858005,30.789357364177704,-10.008022613823414,3.65351,33.38999938964844,,,,,,,728.9,7.289,728.9,7.289,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Corbin Carroll","ARI",108,465,402,104,56,21,9,19,79,64,52,2,103,7,3,1,,23,4,0.259638,0.112029,0.221875,0.50492,0.351799,0.498139,0.362616,0.849938,0.2385,8.31716,0.302109,0,2.26766,73.6718,18.7154,133.004,2.26766,4.56946,20.461387157440186,-0.26943159103393555,3.65019,14.100000381469727,,,,,,,680.7,6.302777777,680.7,6.302777777,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Julio Rodríguez","SEA",112,483,438,117,75,21,1,20,67,67,36,3,109,7,2,0,,18,5,0.268104,0.073817,0.225787,0.326933,0.331065,0.459257,0.33926,0.790322,0.191153,5.27813,0.312628,0,0.819653,67.3102,10.2707,124.779,0.819653,2.11933,14.917854130268097,3.702666759490967,3.60599,9.489999771118164,,,,,,,621,5.544642857,621,5.544642857,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Pete Crow-Armstrong","CHC",106,457,417,105,64,19,5,17,66,65,26,1,112,8,2,4,,24,6,0.251829,0.0572608,0.245421,0.233317,0.306525,0.445657,0.323193,0.752181,0.193827,7.82789,0.302299,0,1.66643,57.7797,3.76271,108.775,1.66643,11.6023,6.420800685882568,13.234982371330261,3.56825,32.939998626708984,,,,,,,545.2,5.143396226,545.2,5.143396226,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Gunnar Henderson","BAL",110,477,426,111,65,22,4,20,68,62,45,2,108,4,3,0,,15,3,0.261069,0.0938605,0.227104,0.413293,0.335151,0.472137,0.346377,0.807289,0.211069,6.43567,0.30417,0,0.951985,69.2714,12.9058,124.594,0.951985,-1.71151,14.779895007610321,3.399598479270935,3.54078,12.510000228881836,,,,,,,637.3,5.793636363,637.3,5.793636363,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Fernando Tatis Jr.","SDP",113,486,423,112,73,20,2,17,70,60,54,3,100,4,4,0,,20,6,0.264308,0.111427,0.205782,0.54148,0.350407,0.442236,0.343269,0.792643,0.177928,5.48582,0.305099,0,0.667364,69.3748,11.9268,124.474,0.667364,7.17709,14.770426988601685,2.6122798919677734,3.43459,14.010000228881836,,,,,,,628.6,5.562831858,628.6,5.562831858,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Geraldo Perdomo","ARI",111,480,403,105,71,20,4,10,66,50,62,1,63,5,3,8,,17,5,0.260219,0.12932,0.132208,0.978158,0.362941,0.401557,0.338228,0.764498,0.141339,6.12663,0.286064,0,0.604375,66.5644,9.81591,116.298,0.604375,1.93795,9.881633877754211,7.083783149719238,3.37174,76.7699966430664,,,,,,,579.1,5.217117117,579.1,5.217117117,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"William Contreras","MIL",110,438,384,105,71,21,1,12,58,57,50,3,78,2,3,0,,3,1,0.272968,0.113467,0.178853,0.634416,0.357357,0.426621,0.341477,0.783978,0.153652,3.21361,0.312477,0,-0.578811,61.9095,10.1153,120.263,-0.578811,1.38122,9.948291778564453,7.445111155509949,3.2727,56.560001373291016,,,,,,,542.3,4.93,542.3,4.93,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Kyle Tucker","LAD",107,462,395,104,61,22,1,20,70,69,61,3,70,2,3,1,,14,2,0.264312,0.132957,0.151933,0.875103,0.364314,0.481531,0.363542,0.845844,0.217219,5.41055,0.273289,0,1.24871,73.5472,18.943,135.132,1.24871,0.608963,20.491372108459473,-4.342425882816315,3.22638,13.130000114440918,,,,,,,654.9,6.120560747,654.9,6.120560747,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Cody Bellinger","NYY",101,437,390,105,66,21,3,16,62,67,42,2,62,2,3,0,,9,3,0.270096,0.0949381,0.14253,0.666094,0.341214,0.459122,0.344404,0.800336,0.189026,5.37332,0.284273,0,0.0530528,62.7984,11.1299,122.919,0.0530528,7.76196,11.865351565182209,4.177083969116211,3.18206,80.98999786376953,,,,,,,567.1,5.614851485,567.1,5.614851485,,,,,,,,,,,,,,,,,,,"Cody Bellinger","15998",641355
"Mookie Betts","LAD",104,447,391,104,66,20,1,16,67,62,51,2,54,3,2,0,,6,1,0.266635,0.113611,0.120039,0.946449,0.353828,0.452175,0.349281,0.806004,0.185541,4.60457,0.271619,0,-0.104165,65.9963,13.1536,125.363,-0.104165,-2.03917,13.339427426457405,2.7524936199188232,3.16977,60.58000183105469,,,,,,,576.1,5.539423076,576.1,5.539423076,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Kevin McGonigle","DET",108,467,408,106,63,26,4,12,66,58,54,0,61,3,2,1,,10,3,0.259245,0.114643,0.130284,0.879949,0.347894,0.433282,0.341208,0.781176,0.174037,5.68801,0.27737,0,-0.123727,65.8682,10.6769,119.339,-0.123727,0.112307,10.522827923297882,4.371565833687782,3.16965,999,,,,,,,578.2,5.353703703,578.2,5.353703703,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","33572",805808
"Shea Langeliers","ATH",99,394,358,98,54,20,1,23,56,67,31,1,87,3,2,0,,2,1,0.273796,0.0787257,0.220699,0.356711,0.334384,0.526586,0.365604,0.860971,0.252791,3.32081,0.299703,0,-0.34742,63.4054,16.8209,133.575,-0.34742,-3.41254,15.254313439130783,1.8325183391571045,3.13732,54.04999923706055,,,,,,,573.7,5.794949494,573.7,5.794949494,,,,,,,,,,,,,,,,,,,"Shea Langeliers","25816",669127
"Nico Hoerner","CHC",109,472,429,118,86,22,2,8,59,51,32,1,42,8,4,0,,19,4,0.27526,0.0677348,0.0893547,0.758044,0.334074,0.391492,0.318351,0.725565,0.116232,5.96242,0.288404,0,1.41612,57.8083,2.02983,105.458,1.41612,8.46445,4.469954490661621,10.221395254135132,3.1111,101.93000030517578,,,,,,,527.1,4.835779816,527.1,4.835779816,,,,,,,,,,,,,,,,,,,"Nico Hoerner","21479",663538
"Drake Baldwin","ATL",105,427,379,104,65,18,1,20,56,65,42,1,84,5,2,0,,0,0,0.274036,0.0977371,0.196324,0.497836,0.35157,0.484722,0.359833,0.836293,0.210686,2.54457,0.303225,0,-0.629061,66.7467,16.2358,131.612,-0.629061,-0.296055,15.387336432933807,0.7510134875774384,3.1073,78.62999725341797,,,,,,,590.3,5.621904761,590.3,5.621904761,,,,,,,,,,,,,,,,,,,"Drake Baldwin","31539",686948
"Byron Buxton","MIN",92,398,357,90,45,18,3,24,66,57,31,2,110,7,2,0,,11,0,0.251418,0.0782615,0.277364,0.282162,0.321442,0.521688,0.356166,0.84313,0.27027,7.31993,0.291505,0,1.68714,60.8856,13.9142,129.135,1.68714,1.40416,15.337944865226746,1.120205044746399,3.08453,73.4800033569336,,,,,,,576.8,6.269565217,576.8,6.269565217,,,,,,,,,,,,,,,,,,,"Byron Buxton","14161",621439
"Matt Chapman","SFG",108,467,409,99,57,24,2,16,61,53,50,1,115,6,2,0,,5,2,0.242616,0.106592,0.24647,0.432476,0.331532,0.429325,0.331252,0.760857,0.186709,4.29625,0.296881,0,-0.542617,62.0922,6.90088,114.897,-0.542617,4.25938,7.704262137413025,5.927587866783142,2.98578,163.6199951171875,,,,,,,548.7,5.080555555,548.7,5.080555555,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Ronald Acuña Jr.","ATL",91,393,327,92,57,16,2,17,70,47,58,2,82,5,3,0,,18,5,0.280693,0.147153,0.207853,0.707965,0.393775,0.494821,0.383307,0.888596,0.214128,6.14045,0.324254,0,0.922568,68.775,22.3908,147.692,0.922568,-2.36208,23.111904621124268,-7.136000156402588,2.97171,5.260000228881836,,,,,,,615,6.758241758,615,6.758241758,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Vladimir Guerrero Jr.","TOR",113,486,424,123,81,24,0,19,67,69,55,7,63,5,3,0,,4,1,0.291042,0.112613,0.130131,0.865385,0.375832,0.481288,0.367244,0.85712,0.190246,3.01773,0.303105,0,-0.503621,78.8388,21.3908,138.128,-0.503621,-0.370662,21.345318734645844,-9.160167753696442,2.95976,18.049999237060547,,,,,,,697.8,6.175221238,697.8,6.175221238,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Brice Turang","MIL",110,474,418,112,77,21,2,12,67,57,50,1,97,1,3,3,,22,5,0.267366,0.104871,0.205478,0.510373,0.344071,0.411407,0.330601,0.755478,0.144041,6.11291,0.321104,0,1.61459,62.7836,6.75493,112.812,1.61459,2.37765,8.814955353736877,4.180427551269531,2.9448,48.18000030517578,,,,,,,575.1,5.228181818,575.1,5.228181818,,,,,,,,,,,,,,,,,,,"Brice Turang","22186",668930
"Cal Raleigh","SEA",88,352,306,67,34,12,0,21,44,56,41,4,100,2,2,0,,3,1,0.218485,0.117108,0.283767,0.412692,0.31374,0.463377,0.330576,0.777117,0.244892,2.89685,0.244191,0,-0.309849,46.5793,5.00533,118.797,-0.309849,4.79015,7.485241770744324,9.029966831207275,2.92942,18.729999542236328,,,,,,,433.3,4.923863636,433.3,4.923863636,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Adley Rutschman","BAL",100,404,358,92,56,21,1,14,47,51,41,1,65,2,3,0,,1,0,0.25692,0.102424,0.160469,0.638279,0.335732,0.436526,0.334995,0.772257,0.179605,2.12129,0.276849,0,-0.526979,54.9598,7.20005,116.754,-0.526979,3.83165,7.454422771930695,7.0793328285217285,2.91115,148.92999267578125,,,,,,,486.3,4.863,486.3,4.863,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Wyatt Langford","TEX",82,356,313,83,49,17,2,15,50,49,38,2,80,3,2,0,,12,3,0.264113,0.106532,0.223581,0.476481,0.34664,0.474411,0.352932,0.821051,0.210298,6.06365,0.30761,0,0.697039,53.5715,11.5219,129.071,0.697039,5.40819,12.89056932926178,3.0273303985595703,2.88249,37.75,,,,,,,490.9,5.986585365,490.9,5.986585365,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Jackson Merrill","SDP",108,466,427,112,69,23,3,16,60,62,31,2,96,3,2,3,,8,2,0.262099,0.0674082,0.206496,0.326438,0.314941,0.446939,0.326528,0.76188,0.18484,5.50378,0.301769,0,0.111864,60.178,5.09899,113.006,0.111864,3.63781,7.297358267009258,5.1594144105911255,2.86231,70.79000091552734,,,,,,,546,5.055555555,546,5.055555555,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Zach Neto","LAA",109,472,416,103,59,24,1,19,67,61,40,3,123,13,3,1,,18,7,0.246782,0.0840786,0.261042,0.322089,0.329105,0.446042,0.334568,0.775148,0.19926,5.68388,0.303057,0,-0.122828,64.0239,8.24542,113.837,-0.122828,-1.13754,7.575993068516254,3.92033314704895,2.8395,32.29999923706055,,,,,,,588.3,5.397247706,588.3,5.397247706,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Ben Rice","NYY",98,419,364,94,49,20,1,24,64,66,46,1,93,6,3,0,,4,1,0.259105,0.110304,0.222057,0.496736,0.35019,0.51871,0.370566,0.8689,0.259606,4.02031,0.281462,0,-0.483088,69.0674,19.563,140.941,-0.483088,0.233873,19.733686089515686,-6.527701362967491,2.82733,53.189998626708984,,,,,,,612.5,6.25,612.5,6.25,,,,,,,,,,,,,,,,,,,"Ben Rice","29576",700250
"Matt Olson","ATL",113,487,424,108,57,27,1,24,67,71,57,3,119,3,3,0,,1,0,0.254211,0.116342,0.243404,0.477979,0.343948,0.487173,0.355205,0.831121,0.232962,2.45899,0.295115,0,-0.53959,74.2049,16.665,128.441,-0.53959,4.15314,15.875558257102966,-4.542847633361816,2.81825,48.0099983215332,,,,,,,672.3,5.949557522,672.3,5.949557522,,,,,,,,,,,,,,,,,,,"Matt Olson","14344",621566
"Riley Greene","DET",109,472,421,116,71,24,2,19,63,70,46,1,129,2,2,0,,2,2,0.275844,0.0971817,0.273854,0.354867,0.348683,0.478977,0.356149,0.82766,0.203133,3.41262,0.35262,0,-1.00948,72.2954,16.5169,129.631,-1.00948,1.07451,15.476832509040833,-4.196323275566101,2.81741,78.4800033569336,,,,,,,630.4,5.783486238,630.4,5.783486238,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Francisco Lindor","NYM",81,351,311,80,50,15,2,13,52,44,32,1,65,6,2,0,,11,2,0.256963,0.0909906,0.184414,0.493404,0.335862,0.440664,0.337043,0.776526,0.183701,6.00544,0.284878,0,0.811983,48.2906,6.83333,119.771,0.811983,3.34247,9.033823370933533,6.743702173233032,2.80938,25.350000381469727,,,,,,,443.4,5.474074074,443.4,5.474074074,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Junior Caminero","TBR",112,485,442,118,71,19,1,27,64,82,38,1,89,3,3,0,,4,2,0.267011,0.0773263,0.1829,0.42278,0.3259,0.500065,0.352308,0.825965,0.233054,3.00564,0.275499,0,-0.600863,72.8131,15.4672,126.353,-0.600863,-5.25855,14.473689258098602,-4.102996587753296,2.77107,16.479999542236328,,,,,,,658.4,5.878571428,658.4,5.878571428,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Ketel Marte","ARI",103,445,392,102,61,20,3,18,62,57,46,3,75,4,2,0,,3,1,0.258698,0.103083,0.168133,0.613105,0.34138,0.460155,0.344717,0.801535,0.201457,4.46305,0.277438,0,-0.333613,64.0034,11.4364,120.743,-0.333613,0.89574,10.603804498910904,1.3290730118751526,2.7363,32.63999938964844,,,,,,,576.4,5.596116504,576.4,5.596116504,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Michael Harris II","ATL",99,427,403,113,74,20,3,15,51,57,18,1,82,3,3,1,,13,3,0.279548,0.0419275,0.19203,0.218338,0.313112,0.458653,0.330579,0.771765,0.179104,5.71342,0.315655,0,0.831278,56.5743,6.08011,111.571,0.831278,4.65386,6.692087113857269,5.754167318344116,2.72907,99.06999969482422,,,,,,,525.2,5.305050505,525.2,5.305050505,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Dansby Swanson","CHC",112,482,430,100,65,18,2,15,65,60,45,1,119,2,4,0,,11,2,0.233435,0.0931926,0.247276,0.376877,0.306986,0.391184,0.305172,0.698169,0.157749,5.54881,0.284091,0,0.579895,53.8679,-3.08485,96.4303,0.579895,6.85057,-1.4593982696533203,12.014917373657227,2.72181,152.30999755859375,,,,,,,490.9,4.383035714,490.9,4.383035714,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
"Andy Pages","LAD",101,437,399,106,66,21,1,18,56,67,27,0,96,7,3,1,,8,3,0.265659,0.0627171,0.220262,0.284738,0.321555,0.461538,0.337244,0.783094,0.195879,4.58863,0.305167,0,-0.215186,60.2564,8.58797,117.118,-0.215186,1.90492,8.656333819031715,3.3246700763702393,2.71532,133.4199981689453,,,,,,,539.2,5.338613861,539.2,5.338613861,,,,,,,,,,,,,,,,,,,"Andy Pages","24816",681624
"Mike Trout","LAA",100,432,357,84,48,15,1,20,61,54,68,6,128,6,2,0,,4,0,0.234257,0.156605,0.296718,0.527792,0.363431,0.452141,0.352345,0.815572,0.217884,3.8662,0.300583,0,0.0391448,64.8719,13.7906,126.083,0.0391448,-1.03512,13.329153381288052,-1.8337323069572449,2.69934,178.44000244140625,,,,,,,580.2,5.802,580.2,5.802,,,,,,,,,,,,,,,,,,,"Mike Trout","10155",545361
"JJ Wetherholt","STL",103,446,386,96,70,14,1,10,59,53,46,2,74,11,3,0,,11,1,0.249263,0.102539,0.166693,0.615137,0.343721,0.373972,0.319142,0.717694,0.124709,5.38064,0.282042,0,0.821877,54.9146,2.20463,106.356,0.821877,5.25449,4.182253658771515,6.919299960136414,2.65537,999,,,,,,,481,4.669902912,481,4.669902912,,,,,,,,,,,,,,,,,,,"JJ Wetherholt","34985",802139
"Nick Kurtz","ATH",106,456,389,101,56,22,1,23,70,76,62,4,128,3,2,0,,4,1,0.260668,0.136199,0.279704,0.486941,0.364643,0.498113,0.369289,0.862756,0.237446,3.82719,0.326265,0,-0.512018,74.7195,20.825,136.114,-0.512018,-0.726236,18.902489006519318,-8.871297121047974,2.63342,19.8700008392334,,,,,,,662.1,6.246226415,662.1,6.246226415,,,,,,,,,,,,,,,,,,,"Nick Kurtz","35110",701762
"Bo Bichette","NYM",115,496,458,126,89,24,1,12,57,62,33,1,82,2,3,0,,4,3,0.27473,0.0658742,0.16572,0.397502,0.323526,0.411105,0.319385,0.734631,0.136376,3.09466,0.309484,0,-1.00382,61.1826,2.55013,107.675,-1.00382,3.8986,3.5100637674331665,5.706629037857056,2.63325,92.86000061035156,,,,,,,539.9,4.694782608,539.9,4.694782608,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
"Xander Bogaerts","SDP",102,441,398,105,76,18,1,11,50,47,38,1,80,3,2,0,,13,1,0.264443,0.0858713,0.181314,0.473605,0.331862,0.393632,0.318233,0.725494,0.129189,4.63948,0.305621,0,1.22608,53.9721,1.85438,107.324,1.22608,1.26269,5.054793357849121,5.9886168241500854,2.63234,237.1999969482422,,,,,,,496.2,4.864705882,496.2,4.864705882,,,,,,,,,,,,,,,,,,,"Xander Bogaerts","12161",593428
"Trea Turner","PHI",107,462,424,116,80,21,2,12,66,50,32,1,88,3,3,0,,18,3,0.272369,0.0691597,0.189527,0.364908,0.325918,0.420362,0.32409,0.74628,0.147993,6.27637,0.31589,0,1.65844,58.7447,4.14053,105.987,1.65844,0.438298,4.937665939331055,5.3896872997283936,2.63076,26.780000686645508,,,,,,,541.5,5.060747663,541.5,5.060747663,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Maikel Garcia","KCR",109,472,425,114,78,25,3,8,62,50,41,0,70,1,3,2,,17,6,0.267049,0.0875938,0.149003,0.587865,0.330639,0.395358,0.318188,0.725997,0.128309,5.90199,0.301462,0,0.319236,57.7459,1.96749,100.715,0.319236,6.61255,0.7171709835529327,8.36949610710144,2.59296,63.150001525878906,,,,,,,519.7,4.767889908,519.7,4.767889908,,,,,,,,,,,,,,,,,,,"Maikel Garcia","22715",672580
"James Wood","WSN",108,467,400,103,56,25,2,21,67,66,62,5,139,3,2,0,,11,4,0.258149,0.132304,0.298439,0.443318,0.360502,0.482655,0.36077,0.843157,0.224506,4.93063,0.341521,0,-0.154544,73.2867,18.0954,132.744,-0.154544,-0.924282,17.973004177212715,-8.20051622390747,2.59092,37.790000915527344,,,,,,,662.8,6.137037037,662.8,6.137037037,,,,,,,,,,,,,,,,,,,"James Wood","29518",695578
"Bryce Harper","PHI",110,477,413,113,65,26,1,22,64,68,58,6,99,3,3,0,,7,3,0.273347,0.122622,0.207565,0.590765,0.365109,0.497119,0.367578,0.862228,0.223772,3.53119,0.308777,0,-0.404094,77.4826,21.117,135.777,-0.404094,-1.86198,19.823826283216476,-10.451485872268677,2.58383,47.900001525878906,,,,,,,695.6,6.323636363,695.6,6.323636363,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Jackson Chourio","MIL",107,464,430,119,71,29,3,16,65,67,28,1,97,2,3,1,,16,5,0.276267,0.060179,0.209537,0.287199,0.3216,0.466716,0.337233,0.788316,0.190448,6.13946,0.322214,0,0.608348,63.9319,9.10822,117.355,0.608348,4.49021,10.152418911457062,-0.4082498550415039,2.57742,19.3799991607666,,,,,,,594.4,5.555140186,594.4,5.555140186,,,,,,,,,,,,,,,,,,,"Jackson Chourio","28806",694192
"Corey Seager","TEX",89,386,336,82,49,16,0,17,51,51,44,6,80,3,3,0,,2,0,0.244949,0.113557,0.206903,0.54884,0.335582,0.448155,0.335127,0.783737,0.203206,2.68853,0.269014,0,-0.257896,52.5193,6.91629,116.806,-0.257896,1.3636,7.386735200881958,4.24569845199585,2.55,95.08999633789062,,,,,,,474.2,5.328089887,474.2,5.328089887,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Xavier Edwards","MIA",99,427,380,110,86,16,4,4,55,36,40,1,56,1,2,3,,18,4,0.28964,0.0946089,0.130967,0.722385,0.358023,0.38446,0.328302,0.742483,0.0948201,6.25382,0.328968,0,0.978067,55.7842,5.28999,109.141,0.978067,3.462,5.608061969280243,4.988234043121338,2.53979,182.42999267578125,,,,,,,488.8,4.937373737,488.8,4.937373737,,,,,,,,,,,,,,,,,,,"Xavier Edwards","22266",669364
"Otto Lopez","MIA",100,432,398,113,82,20,4,8,53,48,26,1,66,4,3,1,,12,5,0.283994,0.0611419,0.152178,0.401778,0.332446,0.413363,0.324335,0.745809,0.129369,5.62678,0.320307,0,-0.30027,55.0404,3.95907,106.424,-0.30027,2.67535,2.9911223649978638,7.307291507720947,2.52624,229.16000366210938,,,,,,,489.6,4.896,489.6,4.896,,,,,,,,,,,,,,,,,,,"Otto Lopez","19608",672640
"Pete Alonso","BAL",110,477,423,111,60,26,1,24,60,74,43,4,106,8,3,0,,2,1,0.262299,0.089391,0.222793,0.401228,0.339435,0.498908,0.357118,0.838343,0.236609,2.45717,0.293237,0,-0.628916,73.4316,17.066,131.993,-0.628916,-0.339099,17.359195232391357,-9.141567766666412,2.52155,24.440000534057617,,,,,,,659.3,5.993636363,659.3,5.993636363,,,,,,,,,,,,,,,,,,,"Pete Alonso","19251",624413
"Gabriel Moreno","ARI",78,311,278,76,53,15,1,7,37,38,28,1,57,3,3,0,,3,1,0.274349,0.090681,0.182619,0.49656,0.344085,0.409294,0.328716,0.753379,0.134945,3.49918,0.319689,0,-0.494986,40.7001,3.95435,109.782,-0.494986,5.73124,3.11058309674263,11.129851818084717,2.51629,181.22000122070312,,,,,,,358.5,4.596153846,358.5,4.596153846,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Dillon Dingler","DET",85,336,306,75,46,16,1,12,37,49,23,1,81,6,2,0,,1,1,0.244351,0.0670012,0.241801,0.277092,0.307476,0.418732,0.315052,0.726207,0.17438,2.68887,0.294412,0,-0.615111,40.2693,0.544983,101.32,-0.615111,6.51315,-0.09193277359008789,13.07951307296753,2.51335,254.6199951171875,,,,,,,365,4.294117647,365,4.294117647,,,,,,,,,,,,,,,,,,,"Dillon Dingler","27464",693307
"Colson Montgomery","CHW",103,446,399,88,49,15,2,22,54,70,37,2,135,9,2,0,,2,1,0.221422,0.0818869,0.303173,0.270099,0.299476,0.43411,0.316004,0.733586,0.212688,3.73927,0.272698,0,-0.718128,53.7781,1.06812,101.97,-0.718128,4.111,0.3176804184913635,8.711618423461914,2.49559,254.75,,,,,,,494.5,4.800970873,494.5,4.800970873,,,,,,,,,,,,,,,,,,,"Colson Montgomery","29712",695657
"Alex Bregman","CHC",110,477,415,102,67,19,1,14,58,55,54,2,71,6,3,0,,2,1,0.246456,0.112701,0.148675,0.758037,0.33911,0.40324,0.325737,0.74235,0.156783,3.10028,0.264307,0,-0.636221,61.2774,4.91175,110.518,-0.636221,1.49305,5.310312509536743,3.1967560052871704,2.4953,119.16999816894531,,,,,,,529.6,4.814545454,529.6,4.814545454,,,,,,,,,,,,,,,,,,,"Alex Bregman","17678",608324
"Freddie Freeman","LAD",107,462,406,115,71,28,2,15,59,59,48,5,81,5,2,0,,5,1,0.282685,0.104316,0.175054,0.59591,0.364675,0.469878,0.358207,0.834553,0.187193,4.05376,0.319439,0,-0.202385,71.5454,16.9413,131.478,-0.202385,-0.192014,17.038541853427887,-8.479822814464569,2.44981,67.87999725341797,,,,,,,637.3,5.956074766,637.3,5.956074766,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"Alejandro Kirk","TOR",67,267,237,63,45,10,0,8,24,34,27,1,33,2,2,0,,1,0,0.265203,0.0997472,0.12445,0.801504,0.343033,0.40435,0.327719,0.747383,0.139147,1.50711,0.279711,0,-0.369819,34.7381,3.17981,110.901,-0.369819,6.97798,3.0616450905799866,11.524892330169678,2.43343,160.25,,,,,,,308.9,4.610447761,308.9,4.610447761,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
