Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jordan Walker","STL",97,421,381,94,60,18,1,15,48,51,33,1,114,4,2,0,,8,4,0.246485,0.0786799,0.270843,0.2905,0.311876,0.416991,0.316575,0.728867,0.170506,4.30645,0.310868,0,-0.581807,50.9521,1.20334,104.597,-0.581807,-3.09072,1.7123551964759827,-7.7450385093688965,0.816951,511.7200012207031,,,,,,,459.3,4.735051546,459.3,4.735051546,,,,,,,,,,,,,,,,,,,"Jordan Walker","27475",691023
"TJ Friedl","CIN",81,348,301,70,50,11,2,7,38,33,35,0,63,8,2,3,,8,1,0.233512,0.0998684,0.17984,0.555318,0.326977,0.355615,0.305743,0.682592,0.122103,5.4482,0.271248,0,0.422103,39.0348,-2.06512,90.1486,0.422103,-0.635991,-3.6392456591129303,0.03839224576950073,0.816426,265.1499938964844,,,,,,,341.5,4.216049382,341.5,4.216049382,,,,,,,,,,,,,,,,,,,"TJ Friedl","19522",670770
"David Hamilton","MIL",58,250,221,49,35,7,1,5,33,25,23,0,62,1,1,3,,21,5,0.22065,0.0909142,0.248251,0.366219,0.295931,0.33606,0.281719,0.631991,0.11541,7.30763,0.280063,0,1.87182,23.164,-6.35649,79.326,1.87182,2.47239,-4.2499754428863525,3.874548554420471,0.812612,743.3300170898438,,,,,,,224.3,3.867241379,224.3,3.867241379,,,,,,,,,,,,,,,,,,,"David Hamilton","27531",666152
"Miguel Amaya","CHC",47,188,166,39,27,7,1,5,20,24,15,0,40,5,1,2,,0,0,0.238156,0.0783031,0.211813,0.369681,0.319006,0.383483,0.310694,0.702489,0.145326,2.1001,0.280994,0,-0.308987,21.8999,-0.361111,100.213,-0.308987,-0.872048,-0.2614208981394768,1.7722415328025818,0.796323,745.969970703125,,,,,,,185.4,3.944680851,185.4,3.944680851,,,,,,,,,,,,,,,,,,,"Miguel Amaya","21693",665804
"Kyle Higashioka","TEX",55,216,199,45,29,8,1,7,21,27,14,0,56,1,1,1,,1,1,0.225461,0.0646026,0.259235,0.249205,0.276841,0.38608,0.287951,0.662921,0.160619,3.19174,0.273401,0,-0.290957,21.1017,-4.39876,84.3081,-0.290957,0.616247,-4.282441407442093,4.608222126960754,0.793739,999,,,,,,,191.8,3.487272727,191.8,3.487272727,,,,,,,,,,,,,,,,,,,"Kyle Higashioka","5517",543309
"Trevor Larnach","MIN",69,298,262,65,42,13,1,9,36,35,33,1,69,2,1,0,,2,1,0.248246,0.109508,0.232434,0.471135,0.334076,0.406842,0.323959,0.740918,0.158596,3.43666,0.303206,0,-0.61065,37.868,2.63946,106.949,-0.61065,0.48328,1.8312533497810364,-4.343879997730255,0.793418,748.52001953125,,,,,,,336,4.869565217,336,4.869565217,,,,,,,,,,,,,,,,,,,"Trevor Larnach","21501",663616
"Freddy Fermin","SDP",66,261,237,54,39,11,0,5,27,25,18,1,53,2,2,2,,1,1,0.22695,0.0677849,0.202895,0.334088,0.284557,0.329787,0.271138,0.614344,0.102837,2.13956,0.270654,0,-0.717743,21.9748,-8.88975,75.0624,-0.717743,2.36269,-8.438278615474701,7.464537858963013,0.790145,735.3099975585938,,,,,,,203.4,3.081818181,203.4,3.081818181,,,,,,,,,,,,,,,,,,,"Freddy Fermin","21840",666023
"Daylen Lile","WSN",93,403,367,96,62,19,6,9,52,48,27,0,75,4,3,1,,9,5,0.262171,0.0683022,0.185246,0.368711,0.318851,0.417599,0.319075,0.73645,0.155428,6.39533,0.305828,0,-0.684691,49.5258,1.96736,104.182,-0.684691,-0.789094,1.3103601336479187,-7.0182607769966125,0.787038,206.50999450683594,,,,,,,440.6,4.737634408,440.6,4.737634408,,,,,,,,,,,,,,,,,,,"Daylen Lile","29995",695734
"Logan O'Hoppe","LAA",72,288,258,59,40,7,1,11,29,34,23,0,78,5,2,1,,2,1,0.228787,0.0784106,0.272438,0.287811,0.29996,0.392677,0.303406,0.692637,0.16389,2.75921,0.279901,0,-0.564433,31.7649,-2.25576,92.3704,-0.564433,-3.82186,-3.153571665287018,0.9165639877319336,0.7856,246.50999450683594,,,,,,,286.8,3.983333333,286.8,3.983333333,,,,,,,,,,,,,,,,,,,"Logan O'Hoppe","24729",681351
"JJ Bleday","CIN",71,308,271,65,35,15,1,15,41,46,35,1,68,1,2,0,,2,1,0.239263,0.113141,0.220782,0.512456,0.326695,0.462062,0.339451,0.788757,0.222799,3.39855,0.264574,0,-0.656746,43.0053,6.60256,113.24,-0.656746,-3.53564,4.17772513628006,-6.765575170516968,0.784659,748.5800170898438,,,,,,,392.2,5.523943661,392.2,5.523943661,,,,,,,,,,,,,,,,,,,"JJ Bleday","26368",668709
