Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Doug Nikhazy","CLE",2,2,,4.55056,27,2,0,1,,32,145,31,18,16,4,17,,1,29,8.08989,4.85393,1.66667,1.11236,0.2,0.12,0.08000000566244125,0.246418,1.50562,0.290698,0.716695,,,4.66323,0.0456491,-0.0349491,999,,,,,,,115.00000000000003,3.593750000000001,116,3.625,,,,,,,,,,,,,,,,,,,"Doug Nikhazy","30142",680951
"Brenan Hanifee","DET",2,2,,3.93013,42,0,0,1,,42,180,43,20,18,4,11,,2,31,6.55022,2.35808,2.77778,0.917031,0.169492,0.0610169,0.10847458243370056,0.259124,1.29549,0.294931,0.719697,,,3.92116,0.0454636,0.0168056,999,,,,,,,176.8,4.20952380952381,185,4.404761904761905,,,,,,,,,,,,,,,,,,,"Brenan Hanifee","22304",669724
"AJ Blubaugh","HOU",3,3,,4.41101,39,2,0,1,,46,197,43,24,22,7,19,,2,41,8.12554,3.79192,2.14286,1.31556,0.209163,0.0976096,0.11155378818511963,0.242762,1.35856,0.281346,0.71535,,,4.59687,0.0453733,-0.0128659,748.5399780273438,,,,,,,165.50000000000006,3.597826086956523,162,3.5217391304347827,,,,,,,,,,,,,,,,,,,"AJ Blubaugh","31764",805123
"Jared Lyons","CIN",0,1,,5.45052,2,2,0,0,,8,34,8,5,5,1,3,,0,6,6.91285,3.7223,1.85714,1.46233,0.172757,0.0930233,0.07973421365022659,0.265683,1.4771,0.293269,0.661938,,,5.0406,0.0451971,0.0269737,999,,,,,,,29.100000000000005,3.6375000000000006,30,3.75,,,,,,,,,,,,,,,,,,,"Jared Lyons","sa3020483",805723
"Brad Keller","PHI",4,4,,4.44444,68,0,2,16,,68,293,65,36,34,9,28,,3,61,8.11111,3.66667,2.21212,1.22222,0.209169,0.0945559,0.11461318284273148,0.246006,1.35802,0.28821,0.708245,,,4.43143,0.0449879,0.0766263,745.9099731445312,,,,,,,326.50000000000006,4.801470588235295,326,4.794117647058823,,,,,,,,,,,,,,,,,,,"Brad Keller","15734",641745
"Gabriel Hughes","COL",1,2,,4.97872,28,2,0,1,,33,145,36,20,18,5,12,,1,22,6.12766,3.25532,1.88235,1.24468,0.154217,0.0819277,0.07228916138410568,0.272487,1.45745,0.299003,0.681818,,,4.75216,0.0446362,0.0829359,999,,,,,,,98.10000000000005,2.9727272727272744,109,3.303030303030303,,,,,,,,,,,,,,,,,,,"Gabriel Hughes","sa3020661",687312
"Carter Baumler","TEX",1,3,,4.58015,54,0,0,5,,54,234,48,30,27,5,25,,1,48,8.01527,4.12214,1.94444,0.916031,0.205882,0.105882,0.10000000149011612,0.231788,1.3486,0.276786,0.654008,,,4.1275,0.0441106,-0.125844,999,,,,,,,251.3,4.653703703703704,243,4.5,,,,,,,,,,,,,,,,,,,"Carter Baumler","30231",691945
"Félix Bautista","BAL",1,1,,3.37802,11,0,0,1,,11,45,8,4,4,1,5,,0,15,12.0643,4.10188,2.94118,0.965147,0.331126,0.112583,0.21854307502508163,0.195489,1.15281,0.278481,0.748663,,,3.29599,0.0440474,0.0409651,999,,,,,,,67.30000000000001,6.118181818181819,61,5.545454545454546,,,,,,,,,,,,,,,,,,,"Felix Bautista","20666",642585
"Brody Hopkins","TBR",0,0,,4.8,2,2,0,0,,7,31,7,4,4,1,3,,1,6,7.88571,4.2,1.87755,1.2,0.197425,0.10515,0.09227468073368073,0.244444,1.40952,0.284281,0.67757,,,4.85895,0.0425758,0.0339888,999,,,,,,,21.3,3.042857142857143,22,3.142857142857143,,,,,,,,,,,,,,,,,,,"Brody Hopkins","sa3023515",811315
"Casey Lawrence","SEA",0,1,,5.07163,2,2,0,0,,10,41,11,6,5,2,2,,0,5,4.89971,1.97708,2.47826,1.46132,0.124726,0.0503282,0.07439824566245079,0.286047,1.39446,0.297753,0.671031,,,4.93074,0.0414762,-0.0224999,999,,,,,,,24.799999999999997,2.4799999999999995,28,2.8,,,,,,,,,,,,,,,,,,,"Casey Lawrence","11121",596271
