Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"J.T. Ginn","ATH",4,4,,4.41177,36,10,0,1,,74,320,69,39,36,10,27,,6,72,8.82353,3.35294,2.63158,1.23529,0.225734,0.0857788,0.1399548575282097,0.241814,1.31373,0.289753,0.699301,,,4.31161,0.58568,0.494473,746.010009765625,,,,,,,294.20000000000005,3.975675675675676,289,3.9054054054054053,,,,,,,,,,,,,,,,,,,"J.T. Ginn","27889",669372
"Drew Pomeranz","LAA",2,4,,4.125,58,0,3,11,,58,244,53,29,27,7,18,,6,59,9.1875,2.8125,3.26667,1.125,0.242574,0.0742574,0.16831683367490768,0.241758,1.22917,0.299213,0.6917,,,3.96847,0.58568,0.204961,736.3400268554688,,,,,,,310.3,5.3500000000000005,304,5.241379310344827,,,,,,,,,,,,,,,,,,,"Drew Pomeranz","11426",519141
"Alek Manoah","LAA",3,5,,4.65517,13,13,0,0,,66,287,63,37,34,8,27,,6,56,7.55172,3.62069,2.08571,1.13793,0.193634,0.0928382,0.10079575330018997,0.245509,1.34483,0.284,0.669291,,,4.58341,0.585232,0.404562,741.47998046875,,,,,,,239.2000000000001,3.624242424242426,239,3.621212121212121,,,,,,,,,,,,,,,,,,,"Alek Manoah","26410",666201
"Hurston Waldrep","ATL",5,4,,4.26932,11,11,0,0,,59,257,56,30,28,7,25,,2,53,8.05662,3.85616,2.08929,1.0329,0.205263,0.0982456,0.10701753944158554,0.243615,1.3772,0.289125,0.710692,,,4.2369,0.567432,0.722695,688.0599975585938,,,,,,,229.9,3.8966101694915256,229,3.8813559322033897,,,,,,,,,,,,,,,,,,,"Hurston Waldrep","33527",694462
"Cody Bradford","TEX",5,5,,4.42231,36,8,0,1,,69,288,67,37,34,10,16,,2,56,7.29084,2.03187,3.58824,1.31474,0.194888,0.0543131,0.1405750773847103,0.248299,1.19522,0.279279,0.670241,,,4.17099,0.556835,0.243546,999,,,,,,,275.40000000000003,3.9913043478260875,277,4.0144927536231885,,,,,,,,,,,,,,,,,,,"Cody Bradford","27597",674003
"Brad Lord","WSN",5,6,,4.61947,53,11,0,1,,102,440,103,57,52,13,33,,5,76,6.69027,2.9469,2.27027,1.11504,0.172485,0.0759754,0.09650924801826477,0.256757,1.33628,0.289017,0.669711,,,4.40062,0.555483,0.410453,999,,,,,,,369.1000000000001,3.618627450980393,383,3.7549019607843137,,,,,,,,,,,,,,,,,,,"Brad Lord","31972",695418
"Carmen Mlodzinski","PIT",5,5,,3.59299,53,3,0,4,,69,294,65,30,28,6,23,,3,60,7.79942,2.97955,2.61765,0.788705,0.203661,0.0778032,0.1258581131696701,0.243108,1.27556,0.292359,0.734797,,,3.6512,0.554746,0.686952,999,,,,,,,325.8,4.721739130434782,325,4.7101449275362315,,,,,,,,,,,,,,,,,,,"Carmen Mlodzinski","27572",669387
"Sean Newcomb","CHW",3,3,,3.99731,62,2,2,10,,70,304,67,34,31,7,27,,4,65,8.35801,3.51279,2.37931,0.847914,0.212963,0.0895062,0.12345679849386215,0.243986,1.34589,0.297674,0.709534,,,3.835,0.551482,0.267132,999,,,,,,,344.7,4.924285714285714,346,4.942857142857143,,,,,,,,,,,,,,,,,,,"Sean Newcomb","16943",656794
"Erick Fedde","CHW",6,8,,4.97238,28,18,0,1,,109,476,111,66,60,18,42,,3,85,7.03236,3.48066,2.02041,1.49171,0.179673,0.0889292,0.09074409306049347,0.258517,1.40489,0.28496,0.686406,,,4.95834,0.548022,0.0935955,999,,,,,,,335.6,3.0788990825688076,350,3.2110091743119265,,,,,,,,,,,,,,,,,,,"Erick Fedde","17425",607200
"Mark Leiter Jr.","ATH",7,5,,4.06571,64,0,6,13,,64,277,58,32,29,8,26,,5,71,9.97947,3.6961,2.7,1.10883,0.255924,0.0947867,0.1611374318599701,0.235294,1.31417,0.299213,0.719424,,,3.99756,0.54373,0.245208,721.9099731445312,,,,,,,355.40000000000003,5.5531250000000005,347,5.421875,,,,,,,,,,,,,,,,,,,"Mark Leiter Jr.","15551",643410
"Caleb Thielbar","CHC",6,3,,3.57616,66,0,1,15,,66,272,58,28,26,9,20,,0,68,9.33775,2.78146,3.35714,1.19205,0.251337,0.0748663,0.1764705628156662,0.231214,1.19205,0.283333,0.767544,,,3.70909,0.542712,0.648021,999,,,,,,,367.90000000000003,5.574242424242425,354,5.363636363636363,,,,,,,,,,,,,,,,,,,"Caleb Thielbar","10078",573204
"Hunter Barco","PIT",3,3,,4.2268,45,11,0,1,,79,349,75,40,37,10,33,,7,75,8.45361,3.71134,2.27778,1.13402,0.213542,0.09375,0.1197916641831398,0.244118,1.36312,0.291498,0.723938,,,4.40661,0.541729,0.58176,999,,,,,,,300.6,3.805063291139241,299,3.7848101265822787,,,,,,,,,,,,,,,,,,,"Hunter Barco","33174",682995
