Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Justin Wrobleski","LAD",4,4,5,4.22714,16,10,0,0,,68,286,66,35,32,8,19,,2,59,7.8384,2.48802,3.15046,1.04542,0.206319,0.0654887,0.1408306360244751,0.249812,1.2533,0.29443,0.681021,,,3.80025,1.18099,0.711065,650.3499755859375,,,,,,,288.20000000000005,4.238235294117648,291,4.279411764705882,,,,,,,,,,,,,,,,,,,"Justin Wrobleski","31204",680736
"Jhoan Duran","PHI",4,1,0,2.22423,28,0,13,1,,28,111,20,7,7,1,7,,1,36,11.7342,2.43592,4.81716,0.372659,0.326771,0.0678347,0.25893623381853104,0.201457,1.00936,0.300354,0.778579,,,1.99944,1.17063,1.25772,41.84000015258789,,,,,,,259.90000000000003,9.282142857142858,244,8.714285714285714,,,,,,,,,,,,,,,,,,,"Jhoan Duran","21029",661395
"Casey Mize","DET",4,3,6,3.82954,11,11,0,0,,58,245,56,27,25,7,16,,2,54,8.38815,2.51599,3.33394,1.03653,0.221018,0.0662933,0.15472452342510223,0.247695,1.2469,0.29815,0.722505,,,3.66698,1.14599,0.983858,289.6499938964844,,,,,,,251.50000000000003,4.336206896551724,253,4.362068965517241,,,,,,,,,,,,,,,,,,,"Casey Mize","20492",663554
"Kyle Bradish","BAL",4,3,6,3.89934,12,12,0,0,,62,264,55,29,27,7,24,,2,64,9.2022,3.47392,2.64894,0.951633,0.240681,0.0908597,0.14982178062200546,0.23208,1.27483,0.289858,0.713434,,,3.68388,1.14187,0.985386,72.95999908447266,,,,,,,279.69999999999993,4.511290322580644,269,4.338709677419355,,,,,,,,,,,,,,,,,,,"Kyle Bradish","24586",680694
"Aaron Nola","PHI",4,4,6,4.57351,13,13,0,0,,70,297,69,39,36,11,19,,2,71,9.09361,2.40077,3.78778,1.46671,0.239453,0.0632173,0.17623605579137802,0.249366,1.2469,0.296381,0.681765,,,4.06418,1.13609,0.596053,205.52999877929688,,,,,,,282.29999999999995,4.032857142857142,286,4.085714285714285,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"José Soriano","LAA",4,5,6,4.24679,13,13,0,0,,70,303,62,36,33,6,32,,4,70,9.01915,4.1479,2.17439,0.817525,0.231634,0.106529,0.1251058280467987,0.234663,1.35293,0.295821,0.685316,,,3.85063,1.12516,0.869951,321.80999755859375,,,,,,,315,4.5,304,4.3428571428571425,,,,,,,,,,,,,,,,,,,"Jose Soriano","22100",667755
"Matthew Boyd","CHC",4,3,6,3.92318,11,11,0,0,,62,259,58,29,27,8,18,,3,58,8.38682,2.5659,3.26857,1.12411,0.222551,0.068088,0.15446257591247559,0.241698,1.21747,0.288298,0.713264,,,3.8481,1.09871,0.979003,212.75999450683594,,,,,,,262.59999999999997,4.235483870967742,259,4.17741935483871,,,,,,,,,,,,,,,,,,,"Matthew Boyd","15440",571510
"Nolan McLean","NYM",4,3,6,3.79071,12,12,0,0,,65,275,56,30,27,7,25,,7,69,9.55936,3.44776,2.77263,0.951106,0.251478,0.0907003,0.1607780084013939,0.231648,1.24912,0.295772,0.718604,,,3.8039,1.09689,1.01904,87.29000091552734,,,,,,,291.29999999999995,4.481538461538461,276,4.246153846153846,,,,,,,,,,,,,,,,,,,"Nolan McLean","33703",690997
"Davis Martin","CHW",3,4,6,4.02823,12,12,0,0,,62,261,59,30,28,6,20,,3,51,7.52797,2.92869,2.57042,0.923981,0.196869,0.0765902,0.12027890235185623,0.246557,1.28165,0.290403,0.698775,,,3.87198,1.09626,0.933551,999,,,,,,,264.5999999999999,4.26774193548387,265,4.274193548387097,,,,,,,,,,,,,,,,,,,"Davis Martin","21448",663436
"Michael King","SDP",5,4,7,3.84007,13,13,0,0,,68,293,63,32,29,8,27,,4,68,8.93804,3.55235,2.51609,1.08391,0.231714,0.092093,0.13962127268314362,0.239816,1.31322,0.293786,0.742124,,,4.04625,1.08837,0.984412,129.55999755859375,,,,,,,284.00000000000006,4.176470588235295,279,4.102941176470588,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
