Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
Yolmer Sanchez,LAA,AAA,34,311,0.122186495,0.228295819,0.535211267,0.27734375,0.388349514,0.4140625,0.802412014,0.13671875,5.158628317208688,0.358695652,-0.6209996063262224,48.09488076401575,2.6348413122974246,0.37067983651394176,101.3884252737139,11602
Joey Meneses,OAK,AAA,34,331,0.081570996,0.117824773,0.692307692,0.345762711,0.395770392,0.545762711,0.941533103,0.2,2.35119047125,0.358565737,-0.7622973024845123,63.43956905476157,15.056054397144957,0.41160662679961235,122.23591470927938,14366
Pablo Reyes,LAA,AAA,32,281,0.135231316,0.142348754,0.95,0.313559322,0.410071942,0.52118644,0.931258382,0.207627118,6.202515373417545,0.343915343,1.814344022423029,54.89158345401265,13.816756811141744,0.41578449919927035,126.94964516275394,16357
Michael Chavis,CIN,AAA,30,296,0.084459459,0.222972972,0.378787878,0.245210727,0.317567567,0.475095785,0.792663352,0.229885058,2.783245636647616,0.256830601,-1.5651623494923115,40.398820354571036,-0.03314404285939014,0.3449503062544642,100.90809993630867,17321
Vimael Machin,COL,AAA,32,335,0.119402985,0.128358208,0.930232558,0.291666666,0.379104477,0.454861111,0.833965588,0.163194445,5.145354482289273,0.3125,-0.949997317045927,53.55646912980486,4.588259431008582,0.37645616003139293,101.47238692531613,17684
Cavan Biggio,HOU,AAA,31,329,0.194528875,0.191489361,1.015873015,0.255905511,0.41337386,0.456692913,0.870066773,0.200787402,5.719405912537558,0.285714285,0.1840666914358735,59.50325800895144,11.412090871924654,0.3996657839662036,134.19498028869938,19252
Nick Solak,SDP,AAA,31,292,0.078767123,0.119863013,0.657142857,0.311284046,0.380622837,0.498054474,0.878677311,0.186770428,5.423680855719047,0.323943661,-0.7122424868866801,50.83464906955354,8.151911063438583,0.39218053170141465,112.19208468384574,19294
Yonny Hernandez,NYM,AAA,28,259,0.111969111,0.115830115,0.966666666,0.298165137,0.388235294,0.371559633,0.759794927,0.073394496,4.468254018086551,0.333333333,0.5632966430857778,37.69683147351649,2.318862625764869,0.35544426464566997,103.68624891724929,19432
Bryan De La Cruz,PHI,AAA,29,351,0.125356125,0.21082621,0.594594594,0.264026402,0.354285714,0.438943894,0.793229608,0.174917492,1.9389608163046206,0.309090909,-1.022023300640285,51.23840135527002,3.29374087047922,0.35594289762633186,107.56080611985215,19600
Abraham Toro,KCR,AAA,29,319,0.09090909,0.210031347,0.43283582,0.268551236,0.341692789,0.51590106,0.857593849,0.247349824,4.591916547221181,0.299019607,-1.3269674153998494,50.9810240889667,7.407386782276485,0.3719606281821631,113.66258267326874,19844
